fiscal_year,function_code,function_label,subfunction_code,subfunction_label,individual_income_tax_receipts_millions,total_outlays_millions,subfunction_outlays_millions,modeled_income_tax_allocation_millions,allocation_share_percent,outlay_share_percent,allocation_method,legal_allocation_status,actual_or_projection
2023,900,Net Interest,909,Other investment income,2176481,6128415,-2732,-970.258393,-0.044579226,-0.044579226,proportional_outlay_share,modeled_not_legal_dedication,actual
2023,950,Undistributed Offsetting Receipts,951,"Employer share, employee retirement (on-budget)",2176481,6128415,-103314,-36691.535745,-1.685819253,-1.685819253,proportional_outlay_share,modeled_not_legal_dedication,actual
2023,950,Undistributed Offsetting Receipts,952,"Employer share, employee retirement (off-budget)",2176481,6128415,-21679,-7699.206336,-0.353745626,-0.353745626,proportional_outlay_share,modeled_not_legal_dedication,actual
2023,950,Undistributed Offsetting Receipts,953,Rents and royalties on the Outer Continental Shelf,2176481,6128415,-6934,-2462.581149,-0.113145079,-0.113145079,proportional_outlay_share,modeled_not_legal_dedication,actual
2024,050,National Defense,051,Department of Defense-Military,2426067,6735261,826275,297627.443157,12.26789875,12.26789875,proportional_outlay_share,modeled_not_legal_dedication,actual
2024,050,National Defense,053,Atomic energy defense activities,2426067,6735261,34916,12576.877922,0.518406042,0.518406042,proportional_outlay_share,modeled_not_legal_dedication,actual
2024,050,National Defense,054,Defense-related activities,2426067,6735261,12332,4442.033983,0.183096097,0.183096097,proportional_outlay_share,modeled_not_legal_dedication,actual
2024,150,International Affairs,151,International development and humanitarian assistance,2426067,6735261,37350,13453.614114,0.554544211,0.554544211,proportional_outlay_share,modeled_not_legal_dedication,actual
2024,150,International Affairs,152,International security assistance,2426067,6735261,22517,8110.710281,0.334315181,0.334315181,proportional_outlay_share,modeled_not_legal_dedication,actual
2024,150,International Affairs,153,Conduct of foreign affairs,2426067,6735261,15448,5564.429206,0.22936008,0.22936008,proportional_outlay_share,modeled_not_legal_dedication,actual
2024,150,International Affairs,154,Foreign information and exchange activities,2426067,6735261,2070,745.621987,0.030733776,0.030733776,proportional_outlay_share,modeled_not_legal_dedication,actual
2024,150,International Affairs,155,International financial programs,2426067,6735261,-20989,-7560.318785,-0.311628607,-0.311628607,proportional_outlay_share,modeled_not_legal_dedication,actual
2024,250,"General Science, Space, and Technology",251,General science and basic research,2426067,6735261,17406,6269.708361,0.258430965,0.258430965,proportional_outlay_share,modeled_not_legal_dedication,actual
2024,250,"General Science, Space, and Technology",252,"Space flight, research, and supporting activities",2426067,6735261,24070,8670.106873,0.357372936,0.357372936,proportional_outlay_share,modeled_not_legal_dedication,actual
2024,270,Energy,271,Energy supply,2426067,6735261,8253,2972.762444,0.122534227,0.122534227,proportional_outlay_share,modeled_not_legal_dedication,actual
2024,270,Energy,272,Energy conservation,2426067,6735261,2086,751.385249,0.030971331,0.030971331,proportional_outlay_share,modeled_not_legal_dedication,actual
2024,270,Energy,274,Emergency energy preparedness,2426067,6735261,2415,869.892318,0.035856072,0.035856072,proportional_outlay_share,modeled_not_legal_dedication,actual
2024,270,Energy,276,"Energy information, policy, and regulation",2426067,6735261,817,294.286552,0.012130191,0.012130191,proportional_outlay_share,modeled_not_legal_dedication,actual
2024,300,Natural Resources and Environment,301,Water resources,2426067,6735261,14425,5195.940658,0.214171359,0.214171359,proportional_outlay_share,modeled_not_legal_dedication,actual
2024,300,Natural Resources and Environment,302,Conservation and land management,2426067,6735261,16847,6068.354404,0.250131361,0.250131361,proportional_outlay_share,modeled_not_legal_dedication,actual
2024,300,Natural Resources and Environment,303,Recreational resources,2426067,6735261,5301,1909.440654,0.07870519,0.07870519,proportional_outlay_share,modeled_not_legal_dedication,actual
2024,300,Natural Resources and Environment,304,Pollution control and abatement,2426067,6735261,13303,4791.791929,0.197512762,0.197512762,proportional_outlay_share,modeled_not_legal_dedication,actual
2024,300,Natural Resources and Environment,306,Other natural resources,2426067,6735261,8593,3095.231756,0.127582287,0.127582287,proportional_outlay_share,modeled_not_legal_dedication,actual
2024,350,Agriculture,351,Farm income stabilization,2426067,6735261,15783,5685.097498,0.234333903,0.234333903,proportional_outlay_share,modeled_not_legal_dedication,actual
2024,350,Agriculture,352,Agricultural research and services,2426067,6735261,17058,6144.357418,0.253264127,0.253264127,proportional_outlay_share,modeled_not_legal_dedication,actual
2024,370,Commerce and Housing Credit,371,Mortgage credit,2426067,6735261,-32684,-11772.90291,-0.485267015,-0.485267015,proportional_outlay_share,modeled_not_legal_dedication,actual
2024,370,Commerce and Housing Credit,372,Postal service,2426067,6735261,3965,1428.208299,0.058869285,0.058869285,proportional_outlay_share,modeled_not_legal_dedication,actual
2024,370,Commerce and Housing Credit,373,Deposit insurance,2426067,6735261,36291,13072.158228,0.53882099,0.53882099,proportional_outlay_share,modeled_not_legal_dedication,actual
2024,370,Commerce and Housing Credit,376,Other advancement of commerce,2426067,6735261,28460,10251.401812,0.422552296,0.422552296,proportional_outlay_share,modeled_not_legal_dedication,actual
2024,400,Transportation,401,Ground transportation,2426067,6735261,92852,33445.648667,1.378595425,1.378595425,proportional_outlay_share,modeled_not_legal_dedication,actual
2024,400,Transportation,402,Air transportation,2426067,6735261,29783,10727.951517,0.442195187,0.442195187,proportional_outlay_share,modeled_not_legal_dedication,actual
2024,400,Transportation,403,Water transportation,2426067,6735261,13247,4771.620513,0.196681316,0.196681316,proportional_outlay_share,modeled_not_legal_dedication,actual
2024,400,Transportation,407,Other transportation,2426067,6735261,700,252.142701,0.010393064,0.010393064,proportional_outlay_share,modeled_not_legal_dedication,actual
2024,450,Community and Regional Development,451,Community development,2426067,6735261,11457,4126.855606,0.170104767,0.170104767,proportional_outlay_share,modeled_not_legal_dedication,actual
2024,450,Community and Regional Development,452,Area and regional development,2426067,6735261,5014,1806.062146,0.074444034,0.074444034,proportional_outlay_share,modeled_not_legal_dedication,actual
2024,450,Community and Regional Development,453,Disaster relief and insurance,2426067,6735261,68744,24761.854047,1.020658294,1.020658294,proportional_outlay_share,modeled_not_legal_dedication,actual
2024,500,"Education, Training, Employment, and Social Services",501,"Elementary, secondary, and vocational education",2426067,6735261,105373,37955.761179,1.564497649,1.564497649,proportional_outlay_share,modeled_not_legal_dedication,actual
2024,500,"Education, Training, Employment, and Social Services",502,Higher education,2426067,6735261,161032,58004.347737,2.390879878,2.390879878,proportional_outlay_share,modeled_not_legal_dedication,actual
2024,500,"Education, Training, Employment, and Social Services",503,Research and general education aids,2426067,6735261,4723,1701.242824,0.070123489,0.070123489,proportional_outlay_share,modeled_not_legal_dedication,actual
2024,500,"Education, Training, Employment, and Social Services",504,Training and employment,2426067,6735261,7683,2767.446245,0.114071303,0.114071303,proportional_outlay_share,modeled_not_legal_dedication,actual
2024,500,"Education, Training, Employment, and Social Services",505,Other labor services,2426067,6735261,2393,861.967833,0.035529432,0.035529432,proportional_outlay_share,modeled_not_legal_dedication,actual
2024,500,"Education, Training, Employment, and Social Services",506,Social services,2426067,6735261,25166,9064.890302,0.373645505,0.373645505,proportional_outlay_share,modeled_not_legal_dedication,actual
2024,550,Health,551,Health care services,2426067,6735261,854342,307737.284853,12.684616082,12.684616082,proportional_outlay_share,modeled_not_legal_dedication,actual
2024,550,Health,552,Health research and training,2426067,6735261,50647,18243.24482,0.75196789,0.75196789,proportional_outlay_share,modeled_not_legal_dedication,actual
2024,550,Health,554,Consumer and occupational health and safety,2426067,6735261,6301,2269.644512,0.093552425,0.093552425,proportional_outlay_share,modeled_not_legal_dedication,actual
2024,570,Medicare,571,Medicare,2426067,6735261,874133,314866.079416,12.978457702,12.978457702,proportional_outlay_share,modeled_not_legal_dedication,actual
2024,600,Income Security,601,General retirement and disability insurance (excluding social security),2426067,6735261,22325,8041.55114,0.331464512,0.331464512,proportional_outlay_share,modeled_not_legal_dedication,actual
2024,600,Income Security,602,Federal employee retirement and disability,2426067,6735261,179924,64809.319031,2.671373834,2.671373834,proportional_outlay_share,modeled_not_legal_dedication,actual
2024,600,Income Security,603,Unemployment compensation,2426067,6735261,38278,13787.883295,0.568322445,0.568322445,proportional_outlay_share,modeled_not_legal_dedication,actual
2024,600,Income Security,604,Housing assistance,2426067,6735261,70008,25217.151724,1.039425198,1.039425198,proportional_outlay_share,modeled_not_legal_dedication,actual
2024,600,Income Security,605,Food and nutrition assistance,2426067,6735261,149146,53722.964675,2.214405648,2.214405648,proportional_outlay_share,modeled_not_legal_dedication,actual
2024,600,Income Security,609,Other income security,2426067,6735261,210867,75955.107024,3.130791813,3.130791813,proportional_outlay_share,modeled_not_legal_dedication,actual
2024,650,Social Security,651,Social security,2426067,6735261,1460918,526228.300508,21.690592243,21.690592243,proportional_outlay_share,modeled_not_legal_dedication,actual
2024,700,Veterans Benefits and Services,701,Income security for veterans,2426067,6735261,161312,58105.204817,2.395037104,2.395037104,proportional_outlay_share,modeled_not_legal_dedication,actual
2024,700,Veterans Benefits and Services,702,"Veterans education, training, and rehabilitation",2426067,6735261,13554,4882.203098,0.201239417,0.201239417,proportional_outlay_share,modeled_not_legal_dedication,actual
2024,700,Veterans Benefits and Services,703,Hospital and medical care for veterans,2426067,6735261,138543,49903.723164,2.05698042,2.05698042,proportional_outlay_share,modeled_not_legal_dedication,actual
2024,700,Veterans Benefits and Services,704,Veterans housing,2426067,6735261,-3512,-1265.035951,-0.052143488,-0.052143488,proportional_outlay_share,modeled_not_legal_dedication,actual
2024,700,Veterans Benefits and Services,705,Other veterans benefits and services,2426067,6735261,15748,5672.490363,0.23381425,0.23381425,proportional_outlay_share,modeled_not_legal_dedication,actual
2024,750,Administration of Justice,751,Federal law enforcement activities,2426067,6735261,46098,16604.677468,0.68442782,0.68442782,proportional_outlay_share,modeled_not_legal_dedication,actual
2024,750,Administration of Justice,752,Federal litigative and judicial activities,2426067,6735261,19964,7191.10983,0.296410191,0.296410191,proportional_outlay_share,modeled_not_legal_dedication,actual
2024,750,Administration of Justice,753,Federal correctional activities,2426067,6735261,9057,3262.366346,0.134471404,0.134471404,proportional_outlay_share,modeled_not_legal_dedication,actual
2024,750,Administration of Justice,754,Criminal justice assistance,2426067,6735261,8674,3124.408268,0.128784913,0.128784913,proportional_outlay_share,modeled_not_legal_dedication,actual
2024,800,General Government,801,Legislative functions,2426067,6735261,6003,2162.303762,0.089127949,0.089127949,proportional_outlay_share,modeled_not_legal_dedication,actual
2024,800,General Government,802,Executive direction and management,2426067,6735261,718,258.62637,0.010660314,0.010660314,proportional_outlay_share,modeled_not_legal_dedication,actual
2024,800,General Government,803,Central fiscal operations,2426067,6735261,19078,6871.969212,0.283255541,0.283255541,proportional_outlay_share,modeled_not_legal_dedication,actual
2024,800,General Government,804,General property and records management,2426067,6735261,18,6.483669,0.00026725,0.00026725,proportional_outlay_share,modeled_not_legal_dedication,actual
